,label
0,4
1,0
2,9
3,7
4,9
5,6
6,6
7,7
8,0
9,4
10,2
11,8
12,4
13,6
14,1
15,2
16,9
17,6
18,1
19,4
20,0
21,8
22,4
23,3
24,7
25,7
26,5
27,1
28,6
29,4
30,7
31,1
32,2
33,7
34,1
35,8
36,7
37,3
38,2
39,4
40,3
41,1
42,8
43,7
44,7
45,7
46,3
47,5
48,0
49,0
50,2
51,5
52,6
53,5
54,1
55,7
56,2
57,6
58,7
59,5
60,9
61,3
62,9
63,4
64,3
65,1
66,6
67,1
68,2
69,2
70,5
71,9
72,3
73,0
74,2
75,2
76,1
77,3
78,5
79,4
80,7
81,5
82,4
83,7
84,8
85,6
86,6
87,8
88,6
89,3
90,5
91,5
92,5
93,3
94,6
95,9
96,7
97,6
98,9
99,3
100,9
101,2
102,4
103,6
104,2
105,1
106,3
107,5
108,1
109,3
110,2
111,1
112,1
113,0
114,5
115,9
116,4
117,5
118,2
119,1
120,5
121,8
122,9
123,9
124,9
125,0
126,6
127,4
128,8
129,6
130,3
131,4
132,5
133,4
134,6
135,6
136,6
137,7
138,2
139,0
140,1
141,2
142,8
143,8
144,2
145,7
146,0
147,6
148,1
149,5
150,8
151,0
152,6
153,9
154,8
155,1
156,1
157,1
158,8
159,1
160,0
161,0
162,5
163,8
164,6
165,3
166,4
167,0
168,4
169,1
170,7
171,5
172,7
173,4
174,2
175,4
176,1
177,8
178,1
179,7
180,1
181,2
182,0
183,8
184,0
185,8
186,5
187,5
188,0
189,9
190,9
191,5
192,9
193,5
194,6
195,0
196,4
197,2
198,1
199,4
200,3
201,7
202,2
203,5
204,1
205,0
206,7
207,7
208,1
209,5
210,8
211,3
212,2
213,3
214,8
215,5
216,3
217,9
218,4
219,5
220,3
221,1
222,1
223,1
224,0
225,8
226,0
227,4
228,0
229,2
230,5
231,9
232,9
233,1
234,7
235,4
236,4
237,1
238,0
239,4
240,3
241,1
242,3
243,8
244,9
245,5
246,6
247,8
248,0
249,6
250,2
251,4
252,3
253,7
254,8
255,1
256,6
257,8
258,1
259,4
260,9
261,9
262,6
263,1
264,4
265,2
266,4
267,7
268,4
269,6
270,8
