,label
0,4
1,9
2,2
3,7
4,7
5,0
6,2
7,6
8,4
9,3
10,6
11,9
12,2
13,7
14,4
15,8
16,2
17,5
18,5
19,3
20,4
21,2
22,2
23,7
24,0
25,5
26,7
27,3
28,4
29,6
30,4
31,2
32,7
33,6
34,1
35,7
36,6
37,1
38,1
39,2
40,4
41,1
42,0
43,7
44,9
45,1
46,8
47,0
48,7
49,6
50,7
51,1
52,4
53,6
54,2
55,1
56,3
57,9
58,9
59,6
60,4
61,8
62,0
63,6
64,4
65,3
66,5
67,4
68,8
69,6
70,3
71,9
72,7
73,1
74,6
75,7
76,5
77,5
78,4
79,4
80,8
81,3
82,3
83,2
84,9
85,2
86,9
87,3
88,3
89,0
90,0
91,1
92,1
93,1
94,2
95,2
96,6
97,2
98,9
99,0
100,4
101,2
102,1
103,6
104,8
105,5
106,1
107,2
108,0
109,7
110,4
111,5
112,5
113,8
114,7
115,0
116,4
117,7
118,3
119,3
120,9
121,2
122,0
123,4
124,9
125,2
126,6
127,5
128,7
129,0
130,7
131,4
132,4
133,8
134,7
135,0
136,8
137,9
138,9
139,7
140,8
141,3
142,3
143,9
144,9
145,8
146,8
147,5
148,0
149,5
150,9
151,6
152,1
153,8
154,9
155,1
156,6
157,1
158,1
159,7
160,2
161,7
162,8
163,7
164,2
165,4
166,5
167,2
168,5
169,3
170,9
171,6
172,0
173,3
174,6
175,5
176,1
177,6
178,2
179,0
180,4
181,0
182,6
183,3
184,4
185,1
186,5
187,1
188,0
189,7
190,2
191,3
192,3
193,6
194,1
195,4
196,1
197,9
198,7
199,7
200,8
201,2
202,3
203,4
204,9
205,4
206,8
207,4
208,3
209,2
210,5
211,1
212,1
213,4
214,5
215,8
216,0
217,2
218,6
219,6
220,9
221,9
222,5
223,6
224,7
225,2
226,7
227,7
228,7
229,8
230,7
231,0
232,3
233,1
234,2
235,4
236,2
237,2
238,5
239,9
240,6
241,8
242,7
243,4
244,1
245,2
246,3
247,4
248,1
249,7
250,4
251,0
252,1
253,2
254,4
255,4
256,3
257,5
258,6
259,7
260,2
261,8
262,2
263,6
264,2
265,0
266,3
267,1
268,8
269,3
270,7
271,8
272,3
273,6
274,1
275,9
276,8
277,0
278,3
279,1
280,4
281,8
282,1
283,4
284,7
285,1
286,5
287,8
288,8
289,2
290,5
291,5
292,9
293,6
294,4
295,0
296,9
297,5
298,3
299,6
300,2
301,1
302,1
303,8
304,5
305,7
306,0
307,5
308,4
309,8
310,8
311,2
312,1
313,0
314,2
315,6
316,7
317,5
318,6
319,1
320,3
321,7
322,1
323,2
324,9
325,4
326,5
327,0
328,3
329,7
330,4
331,1
332,2
333,0
334,6
335,6
336,6
337,5
338,8
339,2
340,1
341,7
342,3
343,5
344,9
345,1
346,9
347,0
348,3
349,9
350,1
351,3
352,0
353,6
354,0
355,1
356,5
357,7
358,8
359,8
360,4
361,4
362,0
363,0
364,8
365,5
366,1
367,4
368,3
369,1
370,0
371,7
372,5
373,1
374,8
375,0
376,6
377,4
378,1
379,1
380,7
381,6
382,9
383,9
384,2
385,6
386,7
387,9
388,6
389,8
390,4
391,2
392,7
393,4
394,3
395,4
396,8
397,8
398,7
399,3
400,3
401,0
402,4
403,9
404,8
405,3
406,8
407,4
408,8
409,1
410,3
411,6
412,4
413,2
414,4
415,6
416,0
417,3
418,7
419,8
420,8
421,3
422,8
423,4
424,8
425,3
426,8
427,9
428,4
429,8
430,3
431,8
432,7
433,8
434,8
435,1
436,9
437,6
438,9
439,3
440,3
441,0
442,1
443,8
444,8
445,8
446,3
447,1
448,3
449,3
450,0
451,0
452,2
453,7
454,4
455,2
456,9
457,3
458,7
459,2
460,7
461,4
462,5
463,2
464,6
465,7
466,4
467,4
468,3
469,8
470,9
471,3
472,5
473,1
474,0
475,0
476,9
477,7
478,8
479,2
480,2
481,6
482,2
483,6
484,0
485,6
486,8
487,6
488,4
489,6
490,2
491,2
492,1
493,9
494,7
495,2
496,7
497,0
498,2
499,4
500,1
501,3
502,2
503,1
504,0
505,3
506,2
507,9
508,2
509,9
510,4
511,2
512,9
513,1
514,4
515,5
516,0
517,0
518,3
519,6
520,0
521,9
522,4
523,3
524,7
525,9
526,1
527,7
528,8
529,5
530,1
531,8
532,6
533,4
534,1
535,7
536,0
537,8
538,1
539,4
540,9
541,3
542,3
543,8
544,5
545,2
546,7
547,4
548,3
549,7
550,6
551,3
552,0
553,4
554,4
555,9
556,7
557,0
558,1
559,2
560,9
561,6
562,6
563,2
564,9
565,8
566,8
567,8
568,6
569,9
570,9
571,8
572,9
573,9
574,1
575,3
576,2
577,7
578,6
579,6
580,6
581,9
582,9
583,4
584,4
585,8
586,4
587,2
588,2
589,3
590,5
591,2
592,1
593,7
594,3
595,7
596,8
597,2
598,0
599,3
600,9
601,3
602,8
603,1
604,5
605,1
606,7
607,8
608,7
609,4
610,1
611,1
612,9
613,2
614,9
615,6
616,0
617,2
618,2
619,0
620,9
621,6
622,3
623,9
624,9
625,8
626,0
627,4
628,8
629,8
630,1
631,2
632,4
633,0
634,7
635,0
636,5
637,3
638,4
639,8
640,8
641,3
642,2
643,8
644,3
645,0
646,2
647,0
648,9
649,2
650,8
651,0
652,1
653,6
654,5
655,5
656,9
657,0
658,3
659,2
660,7
661,9
662,1
663,8
664,4
665,1
666,0
667,1
668,7
669,0
670,0
671,5
672,6
673,6
674,5
675,4
676,8
677,1
678,7
679,4
680,9
681,5
682,7
683,3
684,1
685,1
686,3
687,7
688,9
689,1
690,1
691,4
692,3
693,6
694,8
695,3
696,8
697,2
698,6
699,9
700,2
701,9
702,7
703,5
704,1
705,4
706,0
707,7
708,1
709,4
710,5
711,7
712,7
713,6
714,4
715,4
716,6
717,9
718,9
719,5
720,1
721,0
722,2
723,1
724,6
725,0
726,8
727,3
728,9
729,4
730,6
731,2
732,6
733,8
734,2
735,7
736,3
737,1
738,7
739,5
740,3
741,8
742,6
743,6
744,1
745,2
746,8
747,3
748,6
749,8
750,6
751,8
752,3
753,1
754,0
755,0
756,7
757,9
758,6
759,9
760,4
761,7
762,2
763,0
764,5
765,8
766,5
767,7
768,2
769,5
770,3
771,7
772,8
773,6
774,0
775,7
776,9
777,1
778,1
779,1
780,6
781,1
782,7
783,2
784,1
785,3
786,6
787,6
788,9
789,7
790,1
791,1
792,4
793,0
794,1
795,4
796,8
797,8
798,4
799,5
800,0
801,2
802,8
803,9
804,2
805,4
806,6
807,9
808,9
809,9
810,6
811,3
812,6
813,5
814,6
815,0
816,0
817,5
818,0
819,7
820,5
821,5
822,6
823,0
824,0
825,8
826,8
827,3
828,6
829,3
830,2
831,9
832,4
833,7
834,2
835,8
836,5
837,6
838,3
839,6
840,5
841,6
842,3
843,3
844,2
845,3
846,7
847,7
848,2
849,6
850,6
851,3
852,6
853,9
854,7
855,1
856,3
857,0
858,9
859,8
860,0
861,9
862,2
863,1
864,1
865,9
866,2
867,5
868,8
869,0
870,6
871,6
872,3
873,8
874,3
875,9
876,6
877,4
878,3
879,7
880,9
881,4
882,4
883,6
884,2
885,5
886,7
887,3
888,1
889,1
890,3
891,5
892,3
893,6
894,7
895,2
896,0
897,7
898,6
899,2
900,8
901,3
902,2
903,5
904,7
905,5
906,1
907,5
908,8
909,0
910,6
911,1
912,2
913,2
914,4
915,6
916,0
917,1
918,9
919,2
920,5
921,2
922,3
923,3
924,0
925,0
926,2
927,3
928,7
929,9
930,4
931,6
932,6
933,5
934,5
935,2
936,7
937,2
938,4
939,3
940,7
941,0
942,9
943,8
944,9
945,1
946,1
947,1
948,0
949,7
950,0
951,5
952,0
953,2
954,0
955,1
956,2
957,4
958,8
959,5
960,1
961,4
962,2
963,4
964,2
965,4
966,8
967,7
968,6
969,0
970,9
971,4
972,1
973,5
974,6
975,7
976,6
977,8
978,6
979,3
980,3
981,3
982,1
983,1
984,7
985,2
986,1
987,7
988,8
989,7
990,6
991,8
992,1
993,4
994,4
995,3
996,7
997,3
998,5
999,4
1000,5
1001,7
1002,4
1003,5
1004,4
1005,1
1006,3
1007,6
1008,2
1009,0
1010,7
1011,3
1012,1
1013,1
1014,8
1015,8
1016,5
1017,3
1018,2
1019,6
1020,0
1021,0
1022,0
1023,1
1024,3
1025,9
1026,8
1027,4
1028,4
1029,3
1030,9
1031,3
1032,0
1033,5
1034,5
1035,2
1036,2
1037,3
1038,6
1039,0
1040,8
1041,8
1042,0
1043,1
1044,1
1045,1
1046,4
1047,2
1048,7
1049,5
1050,9
1051,6
1052,2
1053,1
1054,9
1055,7
1056,5
1057,6
1058,6
1059,8
1060,8
1061,0
1062,5
1063,5
1064,9
1065,3
1066,1
1067,6
1068,5
1069,7
1070,4
1071,8
1072,7
1073,8
1074,2
1075,3
1076,4
1077,4
1078,3
1079,2
1080,0
1081,7
1082,6
1083,0
1084,4
1085,5
1086,2
1087,1
1088,5
1089,1
1090,5
1091,4
1092,5
1093,8
1094,8
1095,5
1096,2
1097,6
1098,5
1099,4
1100,3
1101,9
1102,1
1103,5
1104,2
1105,4
1106,1
1107,2
1108,1
1109,6
1110,9
1111,6
1112,1
1113,3
1114,8
1115,4
1116,6
1117,5
1118,0
1119,8
1120,5
1121,4
1122,1
1123,9
1124,4
1125,4
1126,6
1127,2
1128,0
1129,1
1130,7
1131,4
1132,0
1133,9
1134,9
1135,7
1136,7
1137,1
1138,9
1139,8
1140,1
1141,0
1142,4
1143,4
1144,6
1145,9
1146,4
1147,2
1148,3
1149,0
1150,6
1151,1
1152,0
1153,6
1154,1
1155,9
1156,9
1157,4
1158,6
1159,8
1160,6
1161,8
1162,2
1163,9
1164,7
1165,0
1166,4
1167,0
1168,3
1169,4
1170,1
1171,3
1172,4
1173,3
1174,4
1175,9
1176,8
1177,7
1178,5
1179,9
1180,3
1181,5
1182,3
1183,0
1184,7
1185,7
1186,4
1187,3
1188,5
1189,9
1190,3
1191,5
1192,5
1193,5
1194,5
1195,0
1196,1
1197,3
1198,4
1199,1
1200,6
1201,6
1202,2
1203,8
1204,3
1205,5
1206,8
1207,4
1208,7
1209,7
1210,9
1211,2
1212,1
1213,3
1214,0
1215,9
1216,3
1217,1
1218,0
1219,9
1220,5
1221,0
1222,5
1223,3
1224,0
1225,8
1226,4
1227,0
1228,8
1229,2
1230,8
1231,1
1232,9
1233,1
1234,6
1235,1
1236,5
1237,8
1238,8
1239,2
1240,4
1241,1
1242,6
1243,9
1244,6
1245,2
1246,1
1247,8
1248,3
1249,2
1250,5
1251,3
1252,7
1253,7
1254,6
1255,5
1256,4
1257,6
1258,4
1259,6
1260,6
1261,4
1262,2
1263,7
1264,2
1265,7
1266,1
1267,8
1268,1
1269,8
1270,0
1271,6
1272,9
1273,2
1274,9
1275,7
1276,7
1277,5
1278,3
1279,6
1280,6
1281,8
1282,4
1283,6
1284,6
1285,8
1286,2
1287,4
1288,1
1289,7
1290,1
1291,1
1292,1
1293,9
1294,2
1295,5
1296,7
1297,0
1298,8
1299,5
1300,1
1301,6
1302,4
1303,9
1304,2
1305,9
1306,4
1307,7
1308,8
1309,6
1310,6
1311,7
1312,6
1313,2
1314,3
1315,2
1316,0
1317,8
1318,2
1319,0
1320,2
1321,2
1322,3
1323,4
1324,9
1325,6
1326,3
1327,8
1328,3
1329,3
1330,2
1331,1
1332,8
1333,6
1334,4
1335,7
1336,6
1337,1
1338,8
1339,8
1340,3
1341,2
1342,2
1343,2
1344,2
1345,7
1346,5
1347,8
1348,1
1349,5
1350,4
1351,0
1352,9
1353,4
1354,3
1355,1
1356,2
1357,6
1358,8
1359,1
1360,2
1361,8
1362,6
1363,4
1364,7
1365,0
1366,6
1367,6
1368,5
1369,4
1370,8
1371,1
1372,7
1373,6
1374,2
1375,1
1376,0
1377,6
1378,7
1379,6
1380,2
1381,0
1382,5
1383,1
1384,1
1385,8
1386,8
1387,3
1388,0
1389,5
1390,4
1391,4
1392,1
1393,9
1394,5
1395,6
1396,4
1397,9
1398,2
1399,1
1400,3
1401,1
1402,3
1403,0
1404,4
1405,5
1406,1
1407,2
1408,2
1409,5
1410,1
1411,7
1412,2
1413,2
1414,9
1415,8
1416,5
1417,9
1418,1
1419,5
1420,7
1421,3
1422,6
1423,7
1424,1
1425,1
1426,2
1427,4
1428,2
1429,4
1430,2
1431,6
1432,4
1433,2
1434,6
1435,9
1436,1
1437,9
1438,1
1439,7
1440,5
1441,7
1442,4
1443,6
1444,0
1445,7
1446,6
1447,4
1448,9
1449,9
1450,5
1451,0
1452,7
1453,5
1454,8
1455,9
1456,9
1457,1
1458,7
1459,8
1460,1
1461,1
1462,7
1463,4
1464,8
1465,8
1466,2
1467,3
1468,1
1469,6
1470,6
1471,5
1472,4
1473,3
1474,7
1475,7
1476,9
1477,5
1478,6
1479,7
1480,0
1481,8
1482,3
1483,0
1484,5
1485,7
1486,3
1487,2
1488,8
1489,8
1490,1
1491,7
1492,2
1493,5
1494,2
1495,3
1496,5
1497,9
1498,8
1499,1
1500,2
1501,7
1502,4
1503,7
1504,7
1505,1
1506,1
1507,5
1508,5
1509,1
1510,6
1511,1
1512,4
1513,9
1514,4
1515,4
1516,5
1517,7
1518,6
1519,8
1520,8
1521,9
1522,9
1523,3
1524,8
1525,1
1526,3
1527,0
1528,3
1529,8
1530,0
1531,8
1532,7
1533,9
1534,8
1535,2
1536,1
1537,8
1538,7
1539,5
1540,1
1541,6
1542,5
1543,2
1544,8
1545,8
1546,5
1547,7
1548,9
1549,6
1550,8
1551,7
1552,7
1553,4
1554,1
1555,2
1556,5
1557,8
1558,9
1559,7
1560,4
1561,8
1562,4
1563,6
1564,0
1565,5
1566,3
1567,1
1568,4
1569,7
1570,7
1571,9
1572,3
1573,0
1574,9
1575,9
1576,2
1577,5
1578,8
1579,4
1580,6
1581,8
1582,8
1583,7
1584,3
1585,4
1586,6
1587,3
1588,3
1589,9
1590,9
1591,9
1592,3
1593,5
1594,3
1595,7
1596,1
1597,2
1598,0
1599,3
1600,5
1601,4
1602,1
1603,3
1604,0
1605,3
1606,9
1607,4
1608,4
1609,7
1610,9
1611,7
1612,8
1613,5
1614,0
1615,4
1616,3
1617,9
1618,5
1619,2
1620,1
1621,9
1622,1
1623,9
1624,5
1625,4
1626,7
1627,7
1628,5
1629,5
1630,2
1631,6
1632,4
1633,4
1634,4
1635,1
1636,2
1637,7
1638,9
1639,5
1640,6
1641,7
1642,8
1643,4
1644,6
1645,3
1646,2
1647,8
1648,3
1649,0
1650,7
1651,7
1652,7
1653,7
1654,5
1655,4
1656,6
1657,9
1658,4
1659,2
1660,7
1661,8
1662,1
1663,1
1664,8
1665,8
1666,4
1667,9
1668,2
1669,3
1670,7
1671,9
1672,9
1673,0
1674,3
1675,3
1676,6
1677,8
1678,2
1679,8
1680,2
1681,4
1682,7
1683,8
1684,2
1685,5
1686,9
1687,2
1688,7
1689,3
1690,2
1691,7
1692,2
1693,6
1694,8
1695,8
1696,4
1697,0
1698,0
1699,5
1700,8
1701,7
1702,2
1703,7
1704,3
1705,3
1706,5
1707,5
1708,3
1709,1
1710,9
1711,7
1712,2
1713,1
1714,6
1715,9
1716,1
1717,5
1718,3
1719,2
1720,7
1721,6
1722,2
1723,9
1724,1
1725,2
1726,1
1727,5
1728,9
1729,2
1730,6
1731,2
1732,4
1733,9
1734,9
1735,2
1736,8
1737,3
1738,2
1739,4
1740,1
1741,6
1742,7
1743,8
1744,6
1745,2
1746,5
1747,1
1748,7
1749,5
1750,4
1751,4
1752,5
1753,1
1754,9
1755,7
1756,9
1757,3
1758,7
1759,6
1760,3
1761,9
1762,0
1763,6
1764,2
1765,0
1766,9
1767,9
1768,1
1769,9
1770,5
1771,1
1772,3
1773,8
1774,9
1775,6
1776,0
1777,6
1778,2
1779,1
1780,3
1781,5
1782,6
1783,3
1784,2
1785,2
1786,2
1787,9
1788,6
1789,1
1790,7
1791,6
1792,3
1793,2
1794,9
1795,9
1796,3
1797,5
1798,9
1799,3
1800,0
1801,3
1802,1
1803,8
1804,9
1805,1
1806,7
1807,6
1808,0
1809,8
1810,0
1811,7
1812,2
1813,0
1814,6
1815,8
1816,3
1817,4
1818,5
1819,1
1820,5
1821,0
1822,2
1823,2
1824,9
1825,9
1826,5
1827,5
1828,7
1829,8
1830,2
1831,4
1832,6
1833,6
1834,6
1835,2
1836,8
1837,8
1838,0
1839,4
1840,1
1841,5
1842,3
1843,3
1844,3
1845,5
1846,5
1847,7
1848,4
1849,1
1850,4
1851,6
1852,0
1853,3
1854,9
1855,7
1856,8
1857,2
1858,0
1859,6
1860,4
1861,2
1862,4
1863,7
1864,3
1865,0
1866,5
1867,0
1868,6
1869,3
1870,4
1871,5
1872,0
1873,2
1874,1
1875,0
1876,9
1877,8
1878,4
1879,3
1880,9
1881,9
1882,6
1883,4
1884,0
1885,7
1886,3
1887,2
1888,0
1889,1
1890,0
1891,7
1892,7
1893,6
1894,5
1895,2
1896,2
1897,5
1898,6
1899,0
1900,2
1901,7
1902,0
1903,3
1904,8
1905,7
1906,5
1907,0
1908,7
1909,7
1910,7
1911,2
1912,4
1913,7
1914,3
1915,5
1916,4
1917,8
1918,7
1919,0
1920,2
1921,4
1922,0
1923,8
1924,0
1925,7
1926,3
1927,4
1928,2
1929,8
1930,4
1931,9
1932,1
1933,7
1934,1
1935,9
1936,7
1937,4
1938,0
1939,6
1940,4
1941,9
1942,6
1943,0
1944,3
1945,7
1946,5
1947,6
1948,4
1949,3
1950,0
1951,9
1952,6
1953,4
1954,6
1955,0
1956,2
1957,0
1958,8
1959,7
1960,7
1961,6
1962,1
1963,8
1964,3
1965,5
1966,3
1967,3
1968,5
1969,7
1970,6
1971,5
1972,7
1973,4
1974,3
1975,5
1976,0
1977,1
1978,2
1979,1
1980,6
1981,4
1982,0
1983,4
1984,4
1985,0
1986,8
1987,7
1988,5
1989,8
1990,1
1991,0
1992,8
1993,7
1994,4
1995,4
1996,5
1997,2
1998,8
1999,6
2000,6
2001,9
2002,8
2003,3
2004,3
2005,7
2006,3
2007,7
2008,1
2009,9
2010,2
2011,4
2012,1
2013,1
2014,3
2015,9
2016,2
2017,7
2018,3
2019,1
2020,6
2021,0
2022,4
2023,8
2024,6
2025,0
2026,5
2027,2
2028,1
2029,6
2030,3
2031,4
2032,8
2033,2
2034,7
2035,7
2036,2
2037,7
2038,3
2039,0
2040,9
2041,0
2042,9
2043,1
2044,3
2045,9
2046,9
2047,3
2048,0
2049,5
2050,9
2051,2
2052,4
2053,1
2054,2
2055,8
2056,2
2057,2
2058,0
2059,6
2060,6
2061,8
2062,7
2063,4
2064,6
2065,3
2066,5
2067,9
2068,1
2069,0
2070,1
2071,0
2072,5
2073,5
2074,0
2075,2
2076,1
2077,2
2078,3
2079,7
2080,4
2081,5
2082,4
2083,8
2084,6
2085,5
2086,3
2087,8
2088,1
2089,0
2090,5
2091,8
2092,4
