,label
0,4.0
1,9.0
2,2.0
3,7.0
4,7.0
5,0.0
6,2.0
7,6.0
8,4.0
9,3.0
10,6.0
11,9.0
12,2.0
13,7.0
14,4.0
15,8.0
16,2.0
17,5.0
18,5.0
19,3.0
20,4.0
21,2.0
22,2.0
23,7.0
24,0.0
25,5.0
26,7.0
27,3.0
28,4.0
29,6.0
30,4.0
31,2.0
32,7.0
33,6.0
34,1.0
35,7.0
36,6.0
37,1.0
38,1.0
39,2.0
40,4.0
41,1.0
42,0.0
43,7.0
44,9.0
45,1.0
46,8.0
47,0.0
48,7.0
49,6.0
50,7.0
51,1.0
52,4.0
53,6.0
54,2.0
55,1.0
56,3.0
57,9.0
58,9.0
59,6.0
60,4.0
61,8.0
62,0.0
63,6.0
64,4.0
65,3.0
66,5.0
67,4.0
68,8.0
69,6.0
70,3.0
71,9.0
72,7.0
73,1.0
74,6.0
75,7.0
76,5.0
77,5.0
78,4.0
79,4.0
80,8.0
81,3.0
82,3.0
83,2.0
84,9.0
85,2.0
86,9.0
87,3.0
88,3.0
89,0.0
90,0.0
91,1.0
92,1.0
93,1.0
94,2.0
95,2.0
96,6.0
97,2.0
98,9.0
99,0.0
100,4.0
101,2.0
102,1.0
103,6.0
104,8.0
105,5.0
106,1.0
107,2.0
108,0.0
109,7.0
110,4.0
111,5.0
112,5.0
113,8.0
114,7.0
115,0.0
116,4.0
117,7.0
118,3.0
119,3.0
120,9.0
121,2.0
122,0.0
123,4.0
124,9.0
125,2.0
126,6.0
127,5.0
128,7.0
129,0.0
130,7.0
131,4.0
132,4.0
133,8.0
134,7.0
135,0.0
136,8.0
137,9.0
138,9.0
139,7.0
140,8.0
141,3.0
142,3.0
143,9.0
144,9.0
145,8.0
146,8.0
147,5.0
148,0.0
149,5.0
150,9.0
151,6.0
152,1.0
153,8.0
154,9.0
155,1.0
156,6.0
157,1.0
158,1.0
159,7.0
160,2.0
161,7.0
162,8.0
163,7.0
164,2.0
165,4.0
166,5.0
167,2.0
168,5.0
169,3.0
170,9.0
171,6.0
172,0.0
173,3.0
174,6.0
175,5.0
176,1.0
177,6.0
178,2.0
179,0.0
180,4.0
181,0.0
182,6.0
183,3.0
184,4.0
185,1.0
186,5.0
187,1.0
188,0.0
189,7.0
190,2.0
191,3.0
192,3.0
193,6.0
194,1.0
195,4.0
196,1.0
197,9.0
198,7.0
199,7.0
200,8.0
201,2.0
202,3.0
203,4.0
204,9.0
205,4.0
206,8.0
207,4.0
208,3.0
209,2.0
210,5.0
211,1.0
212,1.0
213,4.0
214,5.0
215,8.0
216,0.0
217,2.0
218,6.0
219,6.0
220,9.0
221,9.0
222,5.0
223,6.0
224,7.0
225,2.0
226,7.0
227,7.0
228,7.0
229,8.0
230,7.0
231,0.0
232,3.0
233,1.0
234,2.0
235,4.0
236,2.0
237,2.0
238,5.0
239,9.0
240,6.0
241,8.0
242,7.0
243,4.0
244,1.0
245,2.0
246,3.0
247,4.0
248,1.0
249,7.0
250,4.0
251,0.0
252,1.0
253,2.0
254,4.0
255,4.0
256,3.0
257,5.0
258,6.0
259,7.0
260,2.0
261,8.0
262,2.0
263,6.0
264,2.0
265,0.0
266,3.0
267,1.0
268,8.0
269,3.0
270,7.0
271,8.0
272,3.0
273,6.0
274,1.0
275,9.0
276,8.0
277,0.0
278,3.0
279,1.0
280,4.0
281,8.0
282,1.0
283,4.0
284,7.0
285,1.0
286,5.0
287,8.0
288,8.0
289,2.0
290,5.0
291,5.0
292,9.0
293,6.0
294,4.0
295,0.0
296,9.0
297,5.0
298,3.0
299,6.0
300,2.0
301,1.0
302,1.0
303,8.0
304,5.0
305,7.0
306,0.0
307,5.0
308,4.0
309,8.0
310,8.0
311,2.0
312,1.0
313,0.0
314,2.0
315,6.0
316,7.0
317,5.0
318,6.0
319,1.0
320,3.0
321,7.0
322,1.0
323,2.0
324,9.0
325,4.0
326,5.0
327,0.0
328,3.0
329,7.0
330,4.0
331,1.0
332,2.0
333,0.0
334,6.0
335,6.0
336,6.0
337,5.0
338,8.0
339,2.0
340,1.0
341,7.0
342,3.0
343,5.0
344,9.0
345,1.0
346,9.0
347,0.0
348,3.0
349,9.0
350,1.0
351,3.0
352,0.0
353,6.0
354,0.0
355,1.0
356,5.0
357,7.0
358,8.0
359,8.0
360,4.0
361,4.0
362,0.0
363,0.0
364,8.0
365,5.0
366,1.0
367,4.0
368,3.0
369,1.0
370,0.0
371,7.0
372,5.0
373,1.0
374,8.0
375,0.0
376,6.0
377,4.0
378,1.0
379,1.0
380,7.0
381,6.0
382,9.0
383,9.0
384,2.0
385,6.0
386,7.0
387,9.0
388,6.0
389,8.0
390,4.0
391,2.0
392,7.0
393,4.0
394,3.0
395,4.0
396,8.0
397,8.0
398,7.0
399,3.0
400,3.0
401,0.0
402,4.0
403,9.0
404,8.0
405,3.0
406,8.0
407,4.0
408,8.0
409,1.0
410,3.0
411,6.0
412,4.0
413,2.0
414,4.0
415,6.0
416,0.0
417,3.0
418,7.0
419,8.0
420,8.0
421,3.0
422,8.0
423,4.0
424,8.0
425,3.0
426,8.0
427,9.0
428,4.0
429,8.0
430,3.0
431,8.0
432,7.0
433,8.0
434,8.0
435,1.0
436,9.0
437,6.0
438,9.0
439,3.0
440,3.0
441,0.0
442,1.0
443,8.0
444,8.0
445,8.0
446,3.0
447,1.0
448,3.0
449,3.0
450,0.0
451,0.0
452,2.0
453,7.0
454,4.0
455,2.0
456,9.0
457,3.0
458,7.0
459,2.0
460,7.0
461,4.0
462,5.0
463,2.0
464,6.0
465,7.0
466,4.0
467,4.0
468,3.0
469,8.0
470,9.0
471,3.0
472,5.0
473,1.0
474,0.0
475,0.0
476,9.0
477,7.0
478,8.0
479,2.0
480,2.0
481,6.0
482,2.0
483,6.0
484,0.0
485,6.0
486,8.0
487,6.0
488,4.0
489,6.0
490,2.0
491,2.0
492,1.0
493,9.0
494,7.0
495,2.0
496,7.0
497,0.0
498,2.0
499,4.0
500,1.0
501,3.0
502,2.0
503,1.0
504,0.0
505,3.0
506,2.0
507,9.0
508,2.0
509,9.0
510,4.0
511,2.0
512,9.0
513,1.0
514,4.0
515,5.0
516,0.0
517,0.0
518,3.0
519,6.0
520,0.0
521,9.0
522,4.0
523,3.0
524,7.0
525,9.0
526,1.0
527,7.0
528,8.0
529,5.0
530,1.0
531,8.0
532,6.0
533,4.0
534,1.0
535,7.0
536,0.0
537,8.0
538,1.0
539,4.0
540,9.0
541,3.0
542,3.0
543,8.0
544,5.0
545,2.0
546,7.0
547,4.0
548,3.0
549,7.0
550,6.0
551,3.0
552,0.0
553,4.0
554,4.0
555,9.0
556,7.0
557,0.0
558,1.0
559,2.0
560,9.0
561,6.0
562,6.0
563,2.0
564,9.0
565,8.0
566,8.0
567,8.0
568,6.0
569,9.0
570,9.0
571,8.0
572,9.0
573,9.0
574,1.0
575,3.0
576,2.0
577,7.0
578,6.0
579,6.0
580,6.0
581,9.0
582,9.0
583,4.0
584,4.0
585,8.0
586,4.0
587,2.0
588,2.0
589,3.0
590,5.0
591,2.0
592,1.0
593,7.0
594,3.0
595,7.0
596,8.0
597,2.0
598,0.0
599,3.0
600,9.0
601,3.0
602,8.0
603,1.0
604,5.0
605,1.0
606,7.0
607,8.0
608,7.0
609,4.0
610,1.0
611,1.0
612,9.0
613,2.0
614,9.0
615,6.0
616,0.0
617,2.0
618,2.0
619,0.0
620,9.0
621,6.0
622,3.0
623,9.0
624,9.0
625,8.0
626,0.0
627,4.0
628,8.0
629,8.0
630,1.0
631,2.0
632,4.0
633,0.0
634,7.0
635,0.0
636,5.0
637,3.0
638,4.0
639,8.0
640,8.0
641,3.0
642,2.0
643,8.0
644,3.0
645,0.0
646,2.0
647,0.0
648,9.0
649,2.0
650,8.0
651,0.0
652,1.0
653,6.0
654,5.0
655,5.0
656,9.0
657,0.0
658,3.0
659,2.0
660,7.0
661,9.0
662,1.0
663,8.0
664,4.0
665,1.0
666,0.0
667,1.0
668,7.0
669,0.0
670,0.0
671,5.0
672,6.0
673,6.0
674,5.0
675,4.0
676,8.0
677,1.0
678,7.0
679,4.0
680,9.0
681,5.0
682,7.0
683,3.0
684,1.0
685,1.0
686,3.0
687,7.0
688,9.0
689,1.0
690,1.0
691,4.0
692,3.0
693,6.0
694,8.0
695,3.0
696,8.0
697,2.0
698,6.0
699,9.0
700,2.0
701,9.0
702,7.0
703,5.0
704,1.0
705,4.0
706,0.0
707,7.0
708,1.0
709,4.0
710,5.0
711,7.0
712,7.0
713,6.0
714,4.0
715,4.0
716,6.0
717,9.0
718,9.0
719,5.0
720,1.0
721,0.0
722,2.0
723,1.0
724,6.0
725,0.0
726,8.0
727,3.0
728,9.0
729,4.0
730,6.0
731,2.0
732,6.0
733,8.0
734,2.0
735,7.0
736,3.0
737,1.0
738,7.0
739,5.0
740,3.0
741,8.0
742,6.0
743,6.0
744,1.0
745,2.0
746,8.0
747,3.0
748,6.0
749,8.0
750,6.0
751,8.0
752,3.0
753,1.0
754,0.0
755,0.0
756,7.0
757,9.0
758,6.0
759,9.0
760,4.0
761,7.0
762,2.0
763,0.0
764,5.0
765,8.0
766,5.0
767,7.0
768,2.0
769,5.0
770,3.0
771,7.0
772,8.0
773,6.0
774,0.0
775,7.0
776,9.0
777,1.0
778,1.0
779,1.0
780,6.0
781,1.0
782,7.0
783,2.0
784,1.0
785,3.0
786,6.0
787,6.0
788,9.0
789,7.0
790,1.0
791,1.0
792,4.0
793,0.0
794,1.0
795,4.0
796,8.0
797,8.0
798,4.0
799,5.0
800,0.0
801,2.0
802,8.0
803,9.0
804,2.0
805,4.0
806,6.0
807,9.0
808,9.0
809,9.0
810,6.0
811,3.0
812,6.0
813,5.0
814,6.0
815,0.0
816,0.0
817,5.0
818,0.0
819,7.0
820,5.0
821,5.0
822,6.0
823,0.0
824,0.0
825,8.0
826,8.0
827,3.0
828,6.0
829,3.0
830,2.0
831,9.0
832,4.0
833,7.0
834,2.0
835,8.0
836,5.0
837,6.0
838,3.0
839,6.0
840,5.0
841,6.0
842,3.0
843,3.0
844,2.0
845,3.0
846,7.0
847,7.0
848,2.0
849,6.0
850,6.0
851,3.0
852,6.0
853,9.0
854,7.0
855,1.0
856,3.0
857,0.0
858,9.0
859,8.0
860,0.0
861,9.0
862,2.0
863,1.0
864,1.0
865,9.0
866,2.0
867,5.0
868,8.0
869,0.0
870,6.0
871,6.0
872,3.0
873,8.0
874,3.0
875,9.0
876,6.0
877,4.0
878,3.0
879,7.0
880,9.0
881,4.0
